[17-Jul-2018 11:35:52 Europe/London] PHP Parse error:  syntax error, unexpected 'posts' (T_STRING), expecting ')' in C:\Users\Admin\UniServerZ\www\wpdev\wp-content\plugins\seobytes_livesearch\ajax_search_results.php on line 17
[17-Jul-2018 11:36:17 Europe/London] PHP Parse error:  syntax error, unexpected 'posts' (T_STRING), expecting ')' in C:\Users\Admin\UniServerZ\www\wpdev\wp-content\plugins\seobytes_livesearch\ajax_search_results.php on line 17
[17-Jul-2018 11:06:18 UTC] PHP Warning:  file_get_contents(tpls/single_result.tpl): failed to open stream: No such file or directory in C:\Users\Admin\UniServerZ\www\wpdev\wp-content\plugins\seobytes_livesearch\ajax_search_results.php on line 25
[17-Jul-2018 11:06:18 UTC] PHP Warning:  file_get_contents(tpls/results_container. tpl): failed to open stream: No such file or directory in C:\Users\Admin\UniServerZ\www\wpdev\wp-content\plugins\seobytes_livesearch\ajax_search_results.php on line 31
[17-Jul-2018 11:06:19 UTC] PHP Warning:  file_get_contents(tpls/single_result.tpl): failed to open stream: No such file or directory in C:\Users\Admin\UniServerZ\www\wpdev\wp-content\plugins\seobytes_livesearch\ajax_search_results.php on line 25
[17-Jul-2018 11:06:19 UTC] PHP Warning:  file_get_contents(tpls/results_container. tpl): failed to open stream: No such file or directory in C:\Users\Admin\UniServerZ\www\wpdev\wp-content\plugins\seobytes_livesearch\ajax_search_results.php on line 31
[17-Jul-2018 11:07:20 UTC] PHP Warning:  file_get_contents(/tpls/single_result.tpl): failed to open stream: No such file or directory in C:\Users\Admin\UniServerZ\www\wpdev\wp-content\plugins\seobytes_livesearch\ajax_search_results.php on line 25
[17-Jul-2018 11:07:20 UTC] PHP Warning:  file_get_contents(/tpls/results_container. tpl): failed to open stream: No such file or directory in C:\Users\Admin\UniServerZ\www\wpdev\wp-content\plugins\seobytes_livesearch\ajax_search_results.php on line 31
[17-Jul-2018 11:08:09 UTC] PHP Warning:  file_get_contents(./tpls/single_result.tpl): failed to open stream: No such file or directory in C:\Users\Admin\UniServerZ\www\wpdev\wp-content\plugins\seobytes_livesearch\ajax_search_results.php on line 25
[17-Jul-2018 11:08:10 UTC] PHP Warning:  file_get_contents(./tpls/results_container. tpl): failed to open stream: No such file or directory in C:\Users\Admin\UniServerZ\www\wpdev\wp-content\plugins\seobytes_livesearch\ajax_search_results.php on line 31
[17-Jul-2018 11:08:10 UTC] PHP Warning:  file_get_contents(./tpls/single_result.tpl): failed to open stream: No such file or directory in C:\Users\Admin\UniServerZ\www\wpdev\wp-content\plugins\seobytes_livesearch\ajax_search_results.php on line 25
[17-Jul-2018 11:08:10 UTC] PHP Warning:  file_get_contents(./tpls/results_container. tpl): failed to open stream: No such file or directory in C:\Users\Admin\UniServerZ\www\wpdev\wp-content\plugins\seobytes_livesearch\ajax_search_results.php on line 31
[17-Jul-2018 11:08:31 UTC] PHP Warning:  file_get_contents(../tpls/single_result.tpl): failed to open stream: No such file or directory in C:\Users\Admin\UniServerZ\www\wpdev\wp-content\plugins\seobytes_livesearch\ajax_search_results.php on line 25
[17-Jul-2018 11:08:31 UTC] PHP Warning:  file_get_contents(../tpls/results_container. tpl): failed to open stream: No such file or directory in C:\Users\Admin\UniServerZ\www\wpdev\wp-content\plugins\seobytes_livesearch\ajax_search_results.php on line 31
[17-Jul-2018 11:10:42 UTC] PHP Warning:  file_get_contents(tpls/single_result.tpl): failed to open stream: No such file or directory in C:\Users\Admin\UniServerZ\www\wpdev\wp-content\plugins\seobytes_livesearch\ajax_search_results.php on line 25
[17-Jul-2018 11:10:42 UTC] PHP Warning:  file_get_contents(tpls/results_container.tpl): failed to open stream: No such file or directory in C:\Users\Admin\UniServerZ\www\wpdev\wp-content\plugins\seobytes_livesearch\ajax_search_results.php on line 31
[17-Jul-2018 13:23:16 Europe/London] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW), expecting ',' or ')' in C:\Users\Admin\UniServerZ\www\wpdev\wp-content\plugins\seobytes_livesearch\ajax_search_results.php on line 18
[17-Jul-2018 13:23:23 Europe/London] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW), expecting ',' or ')' in C:\Users\Admin\UniServerZ\www\wpdev\wp-content\plugins\seobytes_livesearch\ajax_search_results.php on line 18
[18-Jul-2018 08:13:00 Europe/London] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW), expecting ',' or ')' in C:\Users\Admin\UniServerZ\www\wpdev\wp-content\plugins\seobytes_livesearch\ajax_search_results.php on line 18
[18-Jul-2018 08:13:20 Europe/London] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW), expecting ',' or ')' in C:\Users\Admin\UniServerZ\www\wpdev\wp-content\plugins\seobytes_livesearch\ajax_search_results.php on line 18
